"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,437.4,,
"FIN","Finland","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,157.5,,
"FIN","Finland","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,235.8,,
"FIN","Finland","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,248.6,,
"FIN","Finland","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,209.9,,
"FIN","Finland","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,406,,
"FIN","Finland","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,445.7,,
"FRA","France","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,134.9,,
"FRA","France","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,224,,
"FRA","France","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,235.1,,
"FRA","France","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,175.4,,
"FRA","France","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,370.1,,
"FRA","France","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,399.4,,
"DEU","Germany","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,150.4,,
"DEU","Germany","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,242.3,,
"DEU","Germany","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,289.5,,
"DEU","Germany","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,205.5,,
"DEU","Germany","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,440,,
"DEU","Germany","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,447.7,,
"GRC","Greece","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,109,,
"GRC","Greece","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,266,,
"GRC","Greece","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,226,,
"GRC","Greece","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,144.6,,
"GRC","Greece","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,335,,
"GRC","Greece","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,410.6,,
"HUN","Hungary","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,127.1,,
"HUN","Hungary","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,268.1,,
"HUN","Hungary","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,327.2,,
"HUN","Hungary","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,232,,
"HUN","Hungary","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,454.3,,
"HUN","Hungary","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,500,,
"IRL","Ireland","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,129.2,,
"IRL","Ireland","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,296.1,,
"IRL","Ireland","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,343.9,,
"IRL","Ireland","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,197.1,,
"IRL","Ireland","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,473.1,,
"IRL","Ireland","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,493.2,,
"ITA","Italy","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,130.7,,
"ITA","Italy","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,306.3,,
"ITA","Italy","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,220.8,,
"ITA","Italy","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,133.1,,
"ITA","Italy","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,351.5,,
"ITA","Italy","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,439.5,,
"JPN","Japan","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,40.8,,
"JPN","Japan","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,224.3,,
"JPN","Japan","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,451.8,,
"JPN","Japan","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,271.5,,
"JPN","Japan","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,492.6,,
"JPN","Japan","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,495.8,,
"KOR","Korea","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,45,,
"KOR","Korea","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,227.3,,
"KOR","Korea","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,421.9,,
"KOR","Korea","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,273.3,,
"KOR","Korea","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,466.9,,
"KOR","Korea","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,500.6,,
"MEX","Mexico","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,136.7,,
"MEX","Mexico","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,383.3,,
"MEX","Mexico","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,485.9,,
"MEX","Mexico","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,250.1,,
"MEX","Mexico","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,622.6,,
"MEX","Mexico","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,633.4,,
"NLD","Netherlands","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,132.9,,
"NLD","Netherlands","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,254.3,,
"NLD","Netherlands","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,354,,
"NLD","Netherlands","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,205.5,,
"NLD","Netherlands","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,486.8,,
"NLD","Netherlands","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,459.7,,
"NZL","New Zealand","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,141,,
"NZL","New Zealand","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,264,,
"NZL","New Zealand","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,338,,
"NZL","New Zealand","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,205,,
"NZL","New Zealand","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,479,,
"NZL","New Zealand","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,469,,
"NOR","Norway","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,168.5,,
"NOR","Norway","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,227.4,,
"NOR","Norway","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,277.4,,
"NOR","Norway","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,200,,
"NOR","Norway","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,445.9,,
"NOR","Norway","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,427.4,,
"POL","Poland","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,159.1,,
"POL","Poland","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,286.4,,
"POL","Poland","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,276.2,,
"POL","Poland","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,161.1,,
"POL","Poland","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,435.3,,
"POL","Poland","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,447.5,,
"PRT","Portugal","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,96.3,,
"PRT","Portugal","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,328.2,,
"PRT","Portugal","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,372.3,,
"PRT","Portugal","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,231.3,,
"PRT","Portugal","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,468.6,,
"PRT","Portugal","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,559.4,,
"ESP","Spain","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,145.9,,
"ESP","Spain","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,289.1,,
"ESP","Spain","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,236.2,,
"ESP","Spain","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,166.8,,
"ESP","Spain","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,382.1,,
"ESP","Spain","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,455.9,,
"SWE","Sweden","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,154,,
"SWE","Sweden","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,206.5,,
"SWE","Sweden","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,321.9,,
"SWE","Sweden","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,268.7,,
"SWE","Sweden","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,475.9,,
"SWE","Sweden","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,475.2,,
"TUR","Turkey","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,85.4,,
"TUR","Turkey","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,308.9,,
"TUR","Turkey","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,284.2,,
"TUR","Turkey","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,116.3,,
"TUR","Turkey","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,369.5,,
"TUR","Turkey","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,425.2,,
"GBR","United Kingdom","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,140.1,,
"GBR","United Kingdom","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,248.6,,
"GBR","United Kingdom","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,308.6,,
"GBR","United Kingdom","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,216.2,,
"GBR","United Kingdom","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,448.7,,
"GBR","United Kingdom","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,464.8,,
"USA","United States","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,150.2,,
"USA","United States","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,243.2,,
"USA","United States","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,334.8,,
"USA","United States","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,245.6,,
"USA","United States","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,485.1,,
"USA","United States","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,488.8,,
"CHN","China (People's Republic of)","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,91,,
"CHN","China (People's Republic of)","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,234,,
"CHN","China (People's Republic of)","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,390,,
"CHN","China (People's Republic of)","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,291,,
"CHN","China (People's Republic of)","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,481,,
"CHN","China (People's Republic of)","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,525,,
"EST","Estonia","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,160.2,,
"EST","Estonia","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,249.2,,
"EST","Estonia","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,264.1,,
"EST","Estonia","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,244.9,,
"EST","Estonia","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,424.2,,
"EST","Estonia","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,494.1,,
"IND","India","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,51.8,,
"IND","India","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,351.9,,
"IND","India","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,390.6,,
"IND","India","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,184.7,,
"IND","India","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,442.3,,
"IND","India","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,536.6,,
"LVA","Latvia","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,129.7,,
"LVA","Latvia","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,253.3,,
"LVA","Latvia","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,376.9,,
"LVA","Latvia","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,288.5,,
"LVA","Latvia","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,506.7,,
"LVA","Latvia","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,541.7,,
"SVN","Slovenia","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST","Latest year","MPD","Minutes per day","0","Units",,,166.5,,
